YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSIT 1-3,BSIT 1-3,CVSU 101 - Institutional Orientation,Lecture,ITC 201,Tuesday,16:00-17:00,Lima Salazar
BSIT 1-3,BSIT 1-3,GNED 02 - Ethics,Lecture,ITC 408,Tuesday,13:00-16:00,Sample Instructor
BSIT 1-3,BSIT 1-3,GNED 05 - Purposive Communication,Lecture,ITC 403,Thursday,09:00-12:00,Sample Instructor
BSIT 1-3,BSIT 1-3,FITT 1 - Movement Enhancement,Lecture,ITC 201,Saturday,14:00-16:00,Sample Instructor
BSIT 1-3,BSIT 1-3,NSTP 1 - National Service Training Program 1,Lecture,ITC 201,Saturday,08:00-11:00,Sample Instructor
BSIT 1-4,BSIT 1-4,COSC 50 - Discrete Structures I,Lecture,ITC 402,Wednesday,11:00-14:00,Tango Rosales
BSIT 1-4,BSIT 1-4,DCIT 21 - Introduction to Computing,Lecture,ITC 501,Monday,17:00-19:00,Quebec Padilla
BSIT 1-4,BSIT 1-4,DCIT 21 - Introduction to Computing,Lab,CCL 402,Monday,11:00-14:00,Sierra Ignacio
BSIT 1-4,BSIT 1-4,DCIT 22 - Computer Programming 1,Lecture,ITC 402,Monday,13:00-14:00,Echo Gonzales
BSIT 1-4,BSIT 1-4,CVSU 101 - Institutional Orientation,Lecture,ITC 503,Wednesday,07:00-08:00,Lima Salazar
BSIT 1-4,BSIT 1-4,GNED 02 - Ethics,Lecture,ITC 401,Tuesday,09:00-12:00,Sample Instructor
BSIT 1-4,BSIT 1-4,GNED 05 - Purposive Communication,Lecture,ITC 403,Thursday,11:00-14:00,Sample Instructor
BSIT 1-4,BSIT 1-4,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 503,Tuesday,09:00-12:00,Sample Instructor
BSIT 1-4,BSIT 1-4,FITT 1 - Movement Enhancement,Lecture,ITC 504,Friday,08:00-10:00,Sample Instructor
BSIT 1-4,BSIT 1-4,NSTP 1 - National Service Training Program 1,Lecture,ITC 403,Saturday,09:00-12:00,Sample Instructor
BSIT 1-5,BSIT 1-5,COSC 50 - Discrete Structures I,Lecture,ITC 503,Wednesday,16:00-19:00,Tango Rosales
BSIT 1-5,BSIT 1-5,DCIT 21 - Introduction to Computing,Lecture,ITC 505,Tuesday,17:00-19:00,Quebec Padilla
BSIT 1-5,BSIT 1-5,DCIT 21 - Introduction to Computing,Lab,CCL 402,Thursday,07:00-10:00,Sierra Ignacio
BSIT 1-5,BSIT 1-5,DCIT 22 - Computer Programming 1,Lecture,ITC 403,Tuesday,08:00-09:00,Echo Gonzales
BSIT 1-5,BSIT 1-5,CVSU 101 - Institutional Orientation,Lecture,ITC 404,Tuesday,09:00-10:00,Lima Salazar
BSIT 1-5,BSIT 1-5,GNED 02 - Ethics,Lecture,ITC 201,Thursday,13:00-16:00,Sample Instructor
BSIT 1-5,BSIT 1-5,GNED 05 - Purposive Communication,Lecture,ITC 505,Monday,12:00-15:00,Sample Instructor
BSIT 1-5,BSIT 1-5,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 403,Wednesday,07:00-10:00,Sample Instructor
BSIT 1-5,BSIT 1-5,FITT 1 - Movement Enhancement,Lecture,OS,Saturday,09:00-11:00,Sample Instructor
BSIT 1-5,BSIT 1-5,NSTP 1 - National Service Training Program 1,Lecture,ITC 404,Saturday,12:00-15:00,Sample Instructor
BSIT 1-6,BSIT 1-6,COSC 50 - Discrete Structures I,Lecture,ITC 402,Wednesday,07:00-10:00,Tango Rosales
BSIT 1-6,BSIT 1-6,DCIT 21 - Introduction to Computing,Lecture,ITC 503,Wednesday,17:00-19:00,Sierra Ignacio
BSIT 1-6,BSIT 1-6,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,16:00-19:00,Sierra Ignacio
BSIT 1-6,BSIT 1-6,DCIT 22 - Computer Programming 1,Lecture,ITC 408,Tuesday,15:00-16:00,Echo Gonzales
BSIT 1-6,BSIT 1-6,CVSU 101 - Institutional Orientation,Lecture,ITC 403,Monday,14:00-15:00,Lima Salazar
BSIT 1-6,BSIT 1-6,GNED 05 - Purposive Communication,Lecture,ITC 501,Monday,09:00-12:00,Sample Instructor
BSIT 1-6,BSIT 1-6,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 501,Wednesday,11:00-14:00,Sample Instructor
BSIT 1-6,BSIT 1-6,FITT 1 - Movement Enhancement,Lecture,ITC 402,Saturday,10:00-12:00,Sample Instructor
BSIT 1-6,BSIT 1-6,NSTP 1 - National Service Training Program 1,Lecture,ITC 501,Saturday,07:00-10:00,Sample Instructor
BSIT 1-7,BSIT 1-7,COSC 50 - Discrete Structures I,Lecture,ITC 404,Monday,16:00-19:00,Tango Rosales
BSIT 1-7,BSIT 1-7,DCIT 21 - Introduction to Computing,Lecture,ITC 501,Tuesday,12:00-14:00,Sierra Ignacio
BSIT 1-7,BSIT 1-7,DCIT 21 - Introduction to Computing,Lab,CCL 402,Thursday,12:00-15:00,Sierra Ignacio
BSIT 1-7,BSIT 1-7,DCIT 22 - Computer Programming 1,Lecture,OS,Monday,09:00-10:00,Echo Gonzales
BSIT 1-7,BSIT 1-7,CVSU 101 - Institutional Orientation,Lecture,ITC 408,Tuesday,13:00-14:00,Lima Salazar
BSIT 1-7,BSIT 1-7,GNED 02 - Ethics,Lecture,ITC 404,Thursday,07:00-10:00,Sample Instructor
BSIT 1-7,BSIT 1-7,GNED 05 - Purposive Communication,Lecture,ITC 408,Monday,07:00-10:00,Sample Instructor
BSIT 1-7,BSIT 1-7,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 502,Tuesday,10:00-13:00,Sample Instructor
BSIT 1-7,BSIT 1-7,FITT 1 - Movement Enhancement,Lecture,ITC 501,Friday,14:00-16:00,Sample Instructor
BSIT 1-7,BSIT 1-7,NSTP 1 - National Service Training Program 1,Lecture,ITC 401,Friday,12:00-15:00,Sample Instructor
BSIT 2-1,BSIT 2-1,ITEC 55 - Platform Techniques,Lecture,ITC 403,Wednesday,14:00-16:00,Tango Rosales
BSIT 2-1,BSIT 2-1,DCIT 24 - Information Management,Lecture,ITC 505,Monday,13:00-15:00,Uniform Fabros
BSIT 2-1,BSIT 2-1,DCIT 50 - Object Oriented Programming,Lecture,ITC 403,Tuesday,10:00-12:00,Romeo Aquino
BSIT 2-1,BSIT 2-1,GNED 04 - Mga Basahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 505,Monday,08:00-11:00,Sample Instructor
BSIT 2-1,BSIT 2-1,GNED 10 - Gender and Society,Lecture,ITC 504,Wednesday,08:00-11:00,Sample Instructor
BSIT 2-1,BSIT 2-1,GNED 14 - Panitikang Panlipunan,Lecture,ITC 502,Wednesday,13:00-16:00,Sample Instructor
BSIT 2-1,BSIT 2-1,FITT 3 - Physical Activities towards Health and Fitness I,Lecture,ITC 504,Saturday,11:00-13:00,Sample Instructor
BSIT 2-2,BSIT 2-2,ITEC 55 - Platform Techniques,Lecture,ITC 501,Thursday,17:00-19:00,Tango Rosales
BSIT 2-2,BSIT 2-2,DCIT 24 - Information Management,Lecture,ITC 501,Wednesday,17:00-19:00,Uniform Fabros
BSIT 2-2,BSIT 2-2,DCIT 50 - Object Oriented Programming,Lecture,ITC 503,Wednesday,07:00-09:00,Cheetah Alcaraz
BSIT 2-2,BSIT 2-2,GNED 04 - Mga Basahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 401,Wednesday,09:00-12:00,Sample Instructor
BSIT 2-2,BSIT 2-2,GNED 07 - The Contemporary World,Lecture,ITC 403,Thursday,13:00-16:00,Sample Instructor
BSIT 2-2,BSIT 2-2,FITT 3 - Physical Activities towards Health and Fitness I,Lecture,ITC 502,Friday,08:00-10:00,Sample Instructor
BSIT 2-3,BSIT 2-3,ITEC 55 - Platform Techniques,Lecture,ITC 404,Monday,10:00-12:00,Tango Rosales
BSIT 2-3,BSIT 2-3,DCIT 24 - Information Management,Lecture,ITC 201,Wednesday,13:00-15:00,Uniform Fabros
BSIT 2-3,BSIT 2-3,DCIT 50 - Object Oriented Programming,Lecture,ITC 501,Thursday,11:00-13:00,Cheetah Alcaraz
BSIT 2-3,BSIT 2-3,GNED 04 - Mga Basahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 501,Monday,11:00-14:00,Sample Instructor
BSIT 2-3,BSIT 2-3,GNED 07 - The Contemporary World,Lecture,ITC 201,Tuesday,12:00-15:00,Sample Instructor
BSIT 2-3,BSIT 2-3,GNED 10 - Gender and Society,Lecture,OS,Wednesday,11:00-14:00,Sample Instructor
BSIT 2-3,BSIT 2-3,GNED 14 - Panitikang Panlipunan,Lecture,ITC 505,Thursday,10:00-13:00,Sample Instructor
BSIT 2-3,BSIT 2-3,FITT 3 - Physical Activities towards Health and Fitness I,Lecture,OS,Saturday,14:00-16:00,Sample Instructor
BSIT 2-4,BSIT 2-4,ITEC 55 - Platform Techniques,Lecture,ITC 404,Tuesday,07:00-09:00,Tango Rosales
BSIT 2-4,BSIT 2-4,DCIT 24 - Information Management,Lecture,ITC 505,Thursday,13:00-15:00,Falcon Cruz
BSIT 2-4,BSIT 2-4,DCIT 50 - Object Oriented Programming,Lecture,ITC 502,Thursday,09:00-11:00,Cheetah Alcaraz
BSIT 2-4,BSIT 2-4,GNED 04 - Mga Basahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 502,Wednesday,12:00-15:00,Sample Instructor
BSIT 2-4,BSIT 2-4,GNED 07 - The Contemporary World,Lecture,ITC 504,Wednesday,09:00-12:00,Sample Instructor
BSIT 2-4,BSIT 2-4,FITT 3 - Physical Activities towards Health and Fitness I,Lecture,ITC 401,Friday,07:00-09:00,Sample Instructor
BSIT 2-5,BSIT 2-5,ITEC 55 - Platform Techniques,Lecture,ITC 403,Thursday,11:00-13:00,Tango Rosales
BSIT 2-5,BSIT 2-5,DCIT 24 - Information Management,Lecture,ITC 408,Wednesday,16:00-18:00,Falcon Cruz
BSIT 2-5,BSIT 2-5,DCIT 50 - Object Oriented Programming,Lecture,ITC 404,Wednesday,17:00-19:00,Cheetah Alcaraz
BSIT 2-5,BSIT 2-5,GNED 04 - Mga Basahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 505,Thursday,11:00-14:00,Sample Instructor
BSIT 2-5,BSIT 2-5,GNED 07 - The Contemporary World,Lecture,ITC 501,Wednesday,07:00-10:00,Sample Instructor
BSIT 2-5,BSIT 2-5,GNED 10 - Gender and Society,Lecture,ITC 503,Wednesday,13:00-16:00,Sample Instructor
BSIT 2-5,BSIT 2-5,GNED 14 - Panitikang Panlipunan,Lecture,ITC 403,Monday,09:00-12:00,Sample Instructor
BSIT 2-5,BSIT 2-5,FITT 3 - Physical Activities towards Health and Fitness I,Lecture,ITC 403,Friday,08:00-10:00,Sample Instructor
BSIT 3-1,BSIT 3-1,ITEC 80 - Introduction to Human Computer Interaction,Lecture,ITC 402,Monday,15:00-17:00,Charlie Mendoza
BSIT 3-1,BSIT 3-1,ITEC 80 - Introduction to Human Computer Interaction,Lab,ITC 402,Friday,14:00-17:00,Dingo Bautista
BSIT 3-1,BSIT 3-1,ITEC 85 - Information Assurance and Security I,Lecture,ITC 503,Thursday,16:00-18:00,Sierra Ignacio
BSIT 3-1,BSIT 3-1,ITEC 85 - Information Assurance and Security I,Lab,CCL 202,Tuesday,08:00-11:00,Sierra Ignacio
BSIT 3-1,BSIT 3-1,ITEC 90 - Network Fundamentals,Lecture,ITC 503,Friday,08:00-10:00,Romeo Aquino
BSIT 3-1,BSIT 3-1,ITEC 90 - Network Fundamentals,Lab,CCL 305,Thursday,13:00-16:00,Sample Instructor
BSIT 3-1,BSIT 3-1,INSY 55 - System Analysis and Design,Lecture,ITC 401,Tuesday,12:00-14:00,Alpha Reyes
BSIT 3-1,BSIT 3-1,INSY 55 - System Analysis and Design,Lab,ITC 408,Monday,10:00-13:00,Alpha Reyes
BSIT 3-1,BSIT 3-1,DCIT 26 - Application Development and Emerging Technologies,Lecture,ITC 401,Wednesday,08:00-10:00,Eagle Co
BSIT 3-1,BSIT 3-1,DCIT 60 - Methods of Research,Lecture,ITC 402,Wednesday,09:00-12:00,Alpha Reyes
BSIT 3-2,BSIT 3-2,ITEC 80 - Introduction to Human Computer Interaction,Lecture,ITC 403,Thursday,17:00-19:00,Dingo Bautista
BSIT 3-2,BSIT 3-2,ITEC 80 - Introduction to Human Computer Interaction,Lab,ITC 402,Monday,15:00-18:00,Dingo Bautista
BSIT 3-2,BSIT 3-2,ITEC 85 - Information Assurance and Security I,Lecture,ITC 501,Thursday,10:00-12:00,Sierra Ignacio
BSIT 3-2,BSIT 3-2,ITEC 85 - Information Assurance and Security I,Lab,CCL 202,Monday,14:00-17:00,Sierra Ignacio
BSIT 3-2,BSIT 3-2,ITEC 90 - Network Fundamentals,Lecture,ITC 501,Friday,10:00-12:00,Romeo Aquino
BSIT 3-2,BSIT 3-2,ITEC 90 - Network Fundamentals,Lab,CCL 305,Friday,13:00-16:00,Sample Instructor
BSIT 3-2,BSIT 3-2,INSY 55 - System Analysis and Design,Lecture,ITC 404,Monday,07:00-09:00,Alpha Reyes
BSIT 3-2,BSIT 3-2,INSY 55 - System Analysis and Design,Lab,OS,Tuesday,07:00-10:00,Alpha Reyes
BSIT 3-2,BSIT 3-2,DCIT 26 - Application Development and Emerging Technologies,Lecture,ITC 502,Wednesday,14:00-16:00,Eagle Co
BSIT 3-2,BSIT 3-2,DCIT 60 - Methods of Research,Lecture,ITC 501,Wednesday,12:00-15:00,Alpha Reyes
BSIT 3-3,BSIT 3-3,ITEC 80 - Introduction to Human Computer Interaction,Lecture,OS,Wednesday,12:00-14:00,Dingo Bautista
BSIT 3-3,BSIT 3-3,ITEC 80 - Introduction to Human Computer Interaction,Lab,ITC 502,Friday,07:00-10:00,Dingo Bautista
BSIT 3-3,BSIT 3-3,ITEC 85 - Information Assurance and Security I,Lecture,ITC 401,Wednesday,07:00-09:00,Sierra Ignacio
BSIT 3-3,BSIT 3-3,ITEC 85 - Information Assurance and Security I,Lab,CCL 202,Monday,08:00-11:00,Sierra Ignacio
BSIT 3-3,BSIT 3-3,ITEC 90 - Network Fundamentals,Lab,CCL 305,Monday,12:00-15:00,Sample Instructor
BSIT 3-3,BSIT 3-3,INSY 55 - System Analysis and Design,Lecture,ITC 402,Monday,13:00-15:00,Alpha Reyes
BSIT 3-3,BSIT 3-3,DCIT 26 - Application Development and Emerging Technologies,Lecture,ITC 505,Wednesday,10:00-12:00,Eagle Co
BSIT 3-3,BSIT 3-3,DCIT 60 - Methods of Research,Lecture,ITC 504,Monday,10:00-13:00,Echo Gonzales
BSIT 4-1,BSIT 4-1,DCIT 65 - Social and Professional Issues,Lecture,ITC 408,Saturday,14:00-17:00,Whiskey Santiago
BSIT 4-1,BSIT 4-1,ITEC 111 - IT Elective 3 (Integrated Programming and Technologies 2),Lecture,ITC 408,Wednesday,07:00-09:00,Whiskey Santiago
BSIT 4-1,BSIT 4-1,ITEC 111 - IT Elective 3 (Integrated Programming and Technologies 2),Lab,CCL 102,Wednesday,08:00-11:00,Otter Ramos
BSIT 4-1,BSIT 4-1,ITEC 116 - IT Elective 4 (Systems Integration and Architechture 2),Lecture,ITC 402,Monday,14:00-16:00,Golf Ocampo
BSIT 4-1,BSIT 4-1,ITEC 116 - IT Elective 4 (Systems Integration and Architechture 2),Lab,CCL 305,Monday,09:00-12:00,Golf Ocampo
BSIT 4-1,BSIT 4-1,ITEC 110 - Systems Administration and Maintenance,Lecture,OS,Friday,09:00-11:00,Otter Ramos
BSIT 4-1,BSIT 4-1,ITEC 110 - Systems Administration and Maintenance,Lab,CCL 202,Monday,09:00-12:00,Otter Ramos
BSIT 4-2,BSIT 4-2,DCIT 65 - Social and Professional Issues,Lecture,ITC 201,Friday,13:00-16:00,Sample Instructor
BSIT 4-2,BSIT 4-2,ITEC 111 - IT Elective 3 (Integrated Programming and Technologies 2),Lecture,ITC 404,Tuesday,10:00-12:00,Whiskey Santiago
BSIT 4-2,BSIT 4-2,ITEC 111 - IT Elective 3 (Integrated Programming and Technologies 2),Lab,CCL 102,Tuesday,08:00-11:00,Otter Ramos
BSIT 4-2,BSIT 4-2,ITEC 116 - IT Elective 4 (Systems Integration and Architechture 2),Lecture,ITC 201,Wednesday,11:00-13:00,Golf Ocampo
BSIT 4-2,BSIT 4-2,ITEC 116 - IT Elective 4 (Systems Integration and Architechture 2),Lab,CCL 305,Tuesday,11:00-14:00,Golf Ocampo
BSIT 4-2,BSIT 4-2,ITEC 110 - Systems Administration and Maintenance,Lecture,ITC 408,Friday,07:00-09:00,Otter Ramos
BSIT 4-2,BSIT 4-2,ITEC 110 - Systems Administration and Maintenance,Lab,CCL 202,Thursday,10:00-13:00,Otter Ramos
BSIT 4-3,BSIT 4-3,DCIT 65 - Social and Professional Issues,Lecture,ITC 504,Monday,07:00-10:00,Sample Instructor
BSIT 4-3,BSIT 4-3,ITEC 111 - IT Elective 3 (Integrated Programming and Technologies 2),Lecture,ITC 501,Tuesday,11:00-13:00,Otter Ramos
BSIT 4-3,BSIT 4-3,ITEC 111 - IT Elective 3 (Integrated Programming and Technologies 2),Lab,CCL 102,Thursday,07:00-10:00,Otter Ramos
BSIT 4-3,BSIT 4-3,ITEC 116 - IT Elective 4 (Systems Integration and Architechture 2),Lecture,ITC 403,Tuesday,16:00-18:00,Golf Ocampo
BSIT 4-3,BSIT 4-3,ITEC 116 - IT Elective 4 (Systems Integration and Architechture 2),Lab,CCL 305,Friday,14:00-17:00,Xray Alcaraz
BSIT 4-3,BSIT 4-3,ITEC 110 - Systems Administration and Maintenance,Lecture,ITC 401,Monday,07:00-09:00,Otter Ramos
BSIT 4-3,BSIT 4-3,ITEC 110 - Systems Administration and Maintenance,Lab,CCL 202,Wednesday,11:00-14:00,Sample Instructor
